id,name,popularity,album.id,album.name,album.total_tracks,track_number,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
05Ysei8K5zQxvLRzHcEhhe,Look For The Good,54,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,1,309666,0.781,0.653,0,-7.999,1,0.0878,0.0247,0,0.262,0.789,90.069,4
0FQJrnW7nH6P2LJsPk4aqX,Make Love,62,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,2,335773,0.83,0.698,4,-8.347,0,0.0612,0.0154,1.78e-6,0.155,0.886,81.998,4
2BH2Qjvf22poDqGnlb9KXE,My Kind,49,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,3,296533,0.869,0.532,0,-7.467,0,0.12,0.109,0,0.117,0.788,112.939,4
3ne0Sqo7td2CJLTcoL7nkj,Good Old Daze,48,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,4,251666,0.756,0.66,7,-7.614,1,0.0902,0.114,0,0.106,0.64,82.045,4
6xiV47yRH51aQ9NArkAhRo,You Do You (feat. Tiffany Haddish),48,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,5,276120,0.792,0.718,2,-7.201,0,0.108,0.0628,0,0.304,0.814,84.032,4
6uvF15oBfR7kQBzF27vCtS,Wise Woman,53,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,6,281546,0.716,0.614,6,-9.3,1,0.0462,0.065,2.99e-5,0.0914,0.679,93.012,4
3d98fbYTncFxls9tTS9okZ,Take The Music,48,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,7,348106,0.852,0.667,4,-8.269,0,0.209,0.117,0,0.0397,0.703,138.014,4
5If6DqwTCqU0TCXlDFZ8LZ,Time Out (feat. Sister Carol),47,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,8,310653,0.832,0.641,11,-8.502,0,0.0875,0.042,2.36e-6,0.244,0.912,143.901,4
4qd5HRN3NkQNCGaDNjLN9D,DJ FM AM JJASON,46,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,9,265306,0.802,0.753,9,-7.489,0,0.0575,0.0396,0,0.0838,0.855,153.992,4
6J9jvzKzgtuGDWwAGI1xlj,Hearing Double,46,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,10,184573,0.946,0.636,7,-7.978,1,0.0506,0.238,4.02e-5,0.0443,0.818,107.933,4
7ocadgGlaAqR51viZ1PCvl,The Minute I Heard of Love,46,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,11,288373,0.811,0.599,9,-8.546,0,0.0581,0.0916,0.00116,0.0545,0.813,144.009,4
0ovCdJZ9BUs16x84hmXmV3,Gratitude,46,1PuBipBX8qqeUN3FOPIexs,Look For The Good,12,12,417693,0.732,0.423,6,-10.562,1,0.095,0.185,3.69e-6,0.125,0.283,86.074,4
3dglCYsVMjPbDlU2CC9Vq7,Let's See What The Night Can Do,61,7dwIWyB2jdJgL3P2JEgRKm,Know.,10,1,245186,0.392,0.423,7,-7.813,1,0.0348,0.27,0,0.117,0.288,113.537,4
