id,name,popularity,album.id,album.name,album.total_tracks,track_number,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
73GPjzTe0NsBwOrYBGhDR0,20th Century Fox Fanfare,8,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,1,25186,0.405,0.705,10,-5.596,1,0.106,0.561,0.0174,0.199,0.556,89.336,4
3cMunJsyeFbyYm7X3LgW9T,Somebody To Love - 2011 Mix,52,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,2,295733,0.466,0.698,8,-6.967,1,0.0629,0.164,0,0.127,0.349,109.772,3
4nla8cAvm6AQFnNou9WiR1,Doing All Right - …revisited,47,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,3,196840,0.373,0.453,9,-9.224,1,0.0419,0.261,4.59e-5,0.16,0.418,95.384,4
6XJyZY2e0k9hZYV7T6TZkB,Keep Yourself Alive - Live at The Rainbow,46,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,4,236083,0.308,0.975,9,-5.894,0,0.173,0.0194,9.14e-6,0.975,0.295,138.974,4
6AAa4zIwllv49ACRh2ndLh,Killer Queen - 2011 Mix,52,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,5,179355,0.526,0.64,10,-6.374,1,0.0472,0.365,1.3e-6,0.0958,0.622,117.132,4
7ayVko8RIfeikaANiv8s4I,Fat Bottomed Girls - Live in Paris,48,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,6,277706,0.314,0.914,2,-5.884,1,0.0599,0.0797,2.43e-5,0.956,0.346,92.049,4
6AWe04n4zsYkGKb3Pf7LMk,Bohemian Rhapsody - 2011 Mix,51,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,7,354947,0.39,0.397,0,-9.963,0,0.0513,0.287,0,0.207,0.246,144.031,4
6UzSmURaa506OfZxFZci1J,Now I'm Here - Live at The Hammersmith Odeon,44,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,8,265981,0.347,0.919,9,-7.39,1,0.139,0.142,0.00542,0.714,0.13,133.86,4
0xqaviScnf68cFZf0caB4V,Crazy Little Thing Called Love - 2011 Remaster,48,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,9,163342,0.626,0.762,7,-6.846,1,0.0432,0.673,2.1e-6,0.325,0.766,76.793,4
0GN3KwXNPI6wNmLlbSoVzi,Love Of My Life - Live at Rock in Rio Festival,47,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,10,268703,0.228,0.563,2,-11.962,1,0.0953,0.807,8.63e-6,0.809,0.0713,111.7,5
