id,name,popularity,album.id,album.name,album.total_tracks,track_number,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3gGFpZEBUrDT0pGAhStavU,Hello My Love,57,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,1,216331,0.683,0.713,5,-4.584,1,0.0398,0.153,0,0.112,0.219,121.963,4
34D9vWLSPmxD1c3yx3wUAu,Better Man,55,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,2,197013,0.616,0.636,11,-3.846,1,0.0394,0.415,0,0.1,0.584,74.855,4
0TLy9ayqpf1F6nsqeDQijN,My Blood,48,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,3,197893,0.549,0.711,11,-5.025,1,0.187,0.0563,0,0.0607,0.32,187.932,4
6oJk6XKSuQ2VP1hdC3aYaJ,Dynamite,49,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,4,212493,0.711,0.814,2,-3.536,1,0.0335,0.0287,0,0.0762,0.451,130.038,4
1tAa5IIFju43JC1uxEgo97,Dance,42,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,5,165826,0.702,0.54,11,-5.629,0,0.0469,0.0542,2.2e-5,0.0807,0.21,102.067,4
46t32pQpf5pqxBXCZnD3Sg,One Last Time,43,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,6,175266,0.618,0.638,10,-4.694,1,0.0427,0.37,0,0.0902,0.517,169.988,4
7EL8Pbhl62THxZyd6GlqgJ,Take Me There,42,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,7,205866,0.673,0.77,11,-4.071,1,0.0344,0.608,0,0.113,0.565,117.116,4
3QMTYT5FJqBtXrtPkzgNjJ,Repair,43,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,8,187586,0.67,0.636,9,-3.778,1,0.0274,0.187,0,0.0911,0.269,110.097,4
7qVPMW91L6DqrVgjguclvk,Without You,41,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,9,219440,0.613,0.787,4,-3.331,1,0.0382,0.0361,0,0.108,0.362,135.989,4
1SMmphjWLXwhLy9MigtOuB,L.O.V.E.,43,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,10,173266,0.916,0.501,1,-5.023,1,0.0494,0.315,0,0.0873,0.89,103.049,4
1j8daMcREb9EXhO4MCfLLA,Another Life,41,6xJ38Up5iUhTh30FdwHN1d,Spectrum,11,11,229346,0.584,0.355,1,-5.373,1,0.0283,0.373,1.45e-6,0.0999,0.305,76.097,3
4z1PzIG9TEOqSR0HwsZ5eJ,Beautiful Tonight,38,3wfBT9FeKhRTD2QKgLdxCe,Gravity,12,1,240093,0.609,0.869,5,-6.293,1,0.028,0.055,0,0.117,0.446,110.005,4
41ux34KaK6kvPP9PtdAPso,Safe,44,3wfBT9FeKhRTD2QKgLdxCe,Gravity,12,2,233280,0.456,0.492,2,-8.133,1,0.0268,0.266,0,0.104,0.207,139.79,4
21IjcHQvr5DS8lgx7yhGjK,Chances,33,3wfBT9FeKhRTD2QKgLdxCe,Gravity,12,3,286653,0.466,0.446,0,-6.703,1,0.0281,0.033,4.43e-6,0.15,0.217,109.999,4
0emoJVldapc3xGkD7MDgtV,I Will Reach You,36,3wfBT9FeKhRTD2QKgLdxCe,Gravity,12,4,201240,0.375,0.753,11,-5.955,1,0.0331,0.111,0,0.208,0.455,170.243,4
1oN5NPKE4oxO3IrguLosDa,Closer,35,3wfBT9FeKhRTD2QKgLdxCe,Gravity,12,5,246680,0.22,0.708,2,-6.99,1,0.0331,0.0617,0,0.0838,0.262,179.927,4
7g0BT4oq01OsdnbyR2rw7o,The Reason,39,3wfBT9FeKhRTD2QKgLdxCe,Gravity,12,6,233986,0.43,0.652,4,-6.06,1,0.028,0.0772,0,0.125,0.185,83.044,4
